datetime,Time,Ta,Ts,Wind velocity,Wind direction,Load,hour,dlr,day_of_year,month,date_str,dlr_calculated,is_heatwave,slr,dlr_forecast,dlr_vs_slr
2021-01-01 08:00:00,2021-01-01 08:00:00,23.35,34.09,1.13,54.0,688.0,8,2009.0,1,1,2021-01-01 08:00,1870.8,0,1434,1474.0,436.8
2021-01-01 09:00:00,2021-01-01 09:00:00,24.48,34.09,0.98,47.0,688.0,9,1912.0,1,1,2021-01-01 09:00,1786.1,0,1434,1245.0,352.1
2021-01-01 10:00:00,2021-01-01 10:00:00,26.34,37.92,0.78,23.0,640.0,10,1795.0,1,1,2021-01-01 10:00,1694.8,0,1434,1692.0,260.8
2021-01-01 11:00:00,2021-01-01 11:00:00,28.03,42.76,0.7,14.0,696.0,11,1610.0,1,1,2021-01-01 11:00,1599.8,0,1434,1509.0,165.8
2021-01-01 12:00:00,2021-01-01 12:00:00,29.33,43.13,1.12,28.0,710.0,12,1904.0,1,1,2021-01-01 12:00,1793.8,0,1434,1496.0,359.8
2021-01-01 13:00:00,2021-01-01 13:00:00,29.91,46.5,1.73,214.0,736.0,13,1937.0,1,1,2021-01-01 13:00,2074.0,0,1434,1469.0,640.0
2021-01-01 14:00:00,2021-01-01 14:00:00,30.01,28.68,2.23,266.0,740.0,14,2014.0,1,1,2021-01-01 14:00,1469.6,0,1434,1496.0,35.6
2021-01-01 15:00:00,2021-01-01 15:00:00,29.88,32.1,1.94,273.0,730.0,15,1791.0,1,1,2021-01-01 15:00,1416.0,0,1434,1501.0,-18.0
2021-01-01 16:00:00,2021-01-01 16:00:00,28.3,37.05,1.98,283.0,736.0,16,1786.0,1,1,2021-01-01 16:00,1765.4,0,1434,1418.0,331.4
2021-01-01 17:00:00,2021-01-01 17:00:00,27.64,38.46,1.88,253.0,744.0,17,1756.0,1,1,2021-01-01 17:00,1887.4,0,1434,1227.0,453.4
2021-01-01 18:00:00,2021-01-01 18:00:00,26.93,38.3,1.58,186.0,736.0,18,2277.0,1,1,2021-01-01 18:00,2356.3,0,1434,1369.0,922.3
2021-01-01 19:00:00,2021-01-01 19:00:00,25.98,36.18,1.15,23.0,720.0,19,2165.0,1,1,2021-01-01 19:00,2111.7,0,1434,1809.0,677.7
2021-01-01 20:00:00,2021-01-01 20:00:00,25.24,27.98,0.79,318.0,720.0,20,2032.0,1,1,2021-01-01 20:00,1863.7,0,1434,1737.0,429.7
2021-01-01 21:00:00,2021-01-01 21:00:00,24.81,28.15,0.71,328.0,734.0,21,2143.0,1,1,2021-01-01 21:00,1860.2,0,1434,1629.0,426.2
2021-01-01 22:00:00,2021-01-01 22:00:00,24.64,28.33,0.57,23.0,760.0,22,2267.0,1,1,2021-01-01 22:00,1783.9,0,1434,1573.0,349.9
2021-01-01 23:00:00,2021-01-01 23:00:00,24.36,29.46,0.58,49.0,758.0,23,1854.0,1,1,2021-01-01 23:00,1694.2,0,1434,1496.0,260.2
2021-01-02 00:00:00,2021-01-02 00:00:00,24.01,31.77,0.71,36.0,696.0,0,1740.0,2,1,2021-01-02 00:00,1857.7,0,1434,1400.0,423.7
2021-01-02 01:00:00,2021-01-02 01:00:00,23.91,32.93,0.87,31.0,734.0,1,1951.0,2,1,2021-01-02 01:00,1976.0,0,1434,1350.0,542.0
2021-01-02 02:00:00,2021-01-02 02:00:00,23.69,34.17,1.03,339.0,750.0,2,2021.0,2,1,2021-01-02 02:00,2094.5,0,1434,1462.0,660.5
2021-01-02 03:00:00,2021-01-02 03:00:00,23.3,33.1,0.89,33.0,740.0,3,2013.0,2,1,2021-01-02 03:00,1989.9,0,1434,1185.0,555.9
